iter	Passed	Remaining
0	4	142
1	10	152
2	18	170
3	26	172
4	35	176
5	42	171
6	48	157
7	55	152
8	63	147
9	74	148
10	81	140
11	92	138
12	101	132
13	113	129
14	123	123
15	129	113
16	137	104
17	145	97
18	154	89
19	163	81
20	174	74
21	182	66
22	190	57
23	198	49
24	208	41
25	219	33
26	227	25
27	236	16
28	247	8
29	256	0
