iter	Logloss
0	0.6826302086
1	0.6712022804
2	0.6581617205
3	0.6459698104
4	0.6354601833
5	0.6246964821
6	0.6157438144
7	0.6058688154
8	0.5966224349
9	0.5865428174
10	0.5780963735
11	0.567743479
12	0.5581231341
13	0.549398427
14	0.5409630194
15	0.534087595
16	0.527409525
17	0.5194211544
18	0.5112541312
19	0.5051304516
20	0.4971112494
21	0.4894355168
22	0.4826636612
23	0.4761433929
24	0.4708586663
25	0.4645140621
26	0.4585460646
27	0.4510487301
28	0.4460672996
29	0.4405462382
